Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
West Bengal,1,530,Shri Prasanta Kumar Majumdar,BALURGHAT,SOUTH DINAJPUR,22.64,15.14,7.5,0.87,0,2,2012-2013,21-11-2014,2.5,"1 / 2013-2014,2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
West Bengal,1,531,Shri Narahari Mahato,PURULIA,PURULIA,20.14,20.14,0,0.01,0,2,2013-2014,30-09-2015,2.5,,,2009,2014,15
West Bengal,1,532,Shri Pranab Mukherjee,JANGIPUR,MURSHIDABAD,,20.14,,1.2,0,,,,0,,,2009,2014,15
West Bengal,1,533,Shri Manohar Tirkey,ALIPURDUARS(ST),JALPAIGURI,22.64,20.14,2.5,2.55,0,2,2013-2014,25-06-2015,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,534,Shri Prasun Banerjee,HOWRAH,HOWRAH,7.5,20.14,-12.64,0.84,0,2,2013-2014,31-12-2014,2.5,,,2009,2014,15
West Bengal,1,535,Shri Prabodh Panda,MEDINIPUR,PASCHIMI MEDINIPUR,20.14,20.14,0,0.7,0,2,2013-2014,20-08-2014,2.5,,,2009,2014,15
West Bengal,1,536,Shri Sisir Kumar Adhikari,KANTHI,PURBA MEDINIPUR,20.14,20.14,0,0,0,2,2013-2014,18-12-2013,2.5,,,2009,2014,15
West Bengal,1,537,Shri Somendra Nath Mitra,DIAMOND HARBOUR,SOUTH TWENTY FOUR PARGANAS,22.64,20.14,2.5,3.13,0,2,2013-2014,28-08-2015,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,538,Shri Sucharu Ranjan Haldar,RANAGHAT(SC),NADIA,20.14,20.14,0,0.63,-0.02,2,2013-2014,18-12-2013,2.5,,,2009,2014,15
West Bengal,1,539,Shri Sultan Ahmed,ULUBERIA,HOWRAH,20.14,20.14,0,1.13,0,2,2013-2014,8/9/14,2.5,,,2009,2014,15
West Bengal,1,540,Shri Sk. Nurul Islam,BASIRHAT,NORTH TWENTY FOUR PARGANAS,22.64,20.14,2.5,-0.57,0,2,2013-2014,11/9/13,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,541,Shri Sakti Mohan Malik,ARAMBAG(SC),HOOGHLY,22.64,20.14,2.5,1.91,0,2,2013-2014,8/10/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,542,Shri Sk. Saidul Haque,BARDHAMAN-DURGAPUR,BURDWAN,22.64,20.14,2.5,-0.2,0,2,2013-2014,29-07-2015,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,543,Shri Suvendu Adhikari,TAMLUK,PURBA MEDINIPUR,20.14,20.14,0,0,0,2,2013-2014,18-12-2013,2.5,,,2009,2014,15
West Bengal,1,544,Smt. Ambica Banerjee,HOWRAH,HOWRAH,12.64,20.14,-7.5,0.84,0,1,2012-2013,8/11/12,2.5,,,2009,2014,15
West Bengal,1,545,Smt. Satabdi Roy,BIRBHUM,BIRBHUM,20.14,20.14,0,1.16,0,2,2013-2014,20-02-2014,2.5,,,2009,2014,15
West Bengal,1,546,Shri Sudip Bandyopadhyay,KOLKATA UTTAR,KOLKATA,22.64,20.14,2.5,0.96,0,2,2013-2014,20-11-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,547,Shri Tapas Paul,KRISHNANAGAR,NADIA,20.14,20.14,0,0.54,0,2,2013-2014,18-12-2013,2.5,,,2009,2014,15
West Bengal,1,548,Smt. Deepa Dasmunsi,RAIGANJ,NORTH DINAJPUR,22.64,20.14,2.5,3.05,0,2,2013-2014,15-07-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,549,Smt. Susmita Bauri,BISHNUPUR(SC),BANKURA,17.64,17.64,0,0.16,0,1,2013-2014,18-09-2015,2.5,,,2009,2014,15
