Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Chhattisgarh,1,102,Kum. Saraj Pandey,DURG,DURG,21.59,19.09,2.5,2.18,0,2,2013-2014,16-10-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Chhattisgarh,1,103,Shri Chandulal Sahu (Chandu Bhaiya),MAHASAMUND,MAHASAMUND,21.59,19.09,2.5,1.01,2.8,2,2013-2014,17-02-2015,2.5,3 / 2013-2014,,2009,2014,15
Chhattisgarh,1,104,Shri Dilip Singh Judev,BILASPUR,BILASPUR,21.59,16.59,5,1.45,1.45,1,2013-2014,31-05-2013,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Chhattisgarh,1,105,Shri Dinesh  Kashyap,BASTAR(ST),BASTAR,21.59,19.09,2.5,0.58,0,2,2013-2014,29-04-2015,2.5,3 / 2013-2014,,2009,2014,15
Chhattisgarh,1,106,Shri Murarilal Singh,SARGUJA(ST),SURGUJA,21.59,19.09,2.5,0.02,0.02,2,2013-2014,27-10-2014,2.5,3 / 2013-2014,,2009,2014,15
Chhattisgarh,1,107,Shri Madhusudan Yadav,RAJNANDGAON,RAJNANDGAON,21.59,19.09,2.5,0.03,0,2,2013-2014,12/11/14,2.5,3 / 2013-2014,,2009,2014,15
Chhattisgarh,1,108,Shri Ramesh  Bais,RAIPUR,RAIPUR,21.59,19.09,2.5,0.01,0.01,2,2013-2014,2/9/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Chhattisgarh,1,109,Shri Sohan  Potai,KANKER(ST),UTTAR BASTAR KANKER,19.09,19.09,0,0.74,0,2,2013-2014,12/2/14,2.5,,,2009,2014,15
Chhattisgarh,1,110,Shri Vishnu Deo Sai,RAIGARH(ST),RAIGARH,19.09,19.09,0,1.05,0,2,2013-2014,18-07-2014,2.5,,,2009,2014,15
Chhattisgarh,1,111,Smt Kamla Devi Patle,JANJGIR CHAMPA(SC),JANJGIR-CHAMPA,19.09,19.09,0,3.49,0,2,2013-2014,30-12-2013,2.5,,,2009,2014,15
D & N Haveli,1,112,Shri Natubhai Gomanbhai Patel,DADRA & NAGAR HAVELI (ST),DADRA AND NAGAR HAVELI,20,20,0,-5.77,0,2,2013-2014,5/12/14,2.5,,,2009,2014,15
Daman & Diu,1,113,Shri Lalubhai Babubhai Patel,DAMAN & DIU,DAMAN,21.5,19,2.5,3.48,3.54,2,2013-2014,13-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Delhi,1,114,Shri Ajay Maken,NEW DELHI,COMMISSIONER NORTH DELHI MUNICIPAL CORPORATION,25.5,23,2.5,5.43,0,2,2013-2014,2/11/15,2.5,3 / 2013-2014,,2009,2014,15
Delhi,1,115,Shri Jai Prakash Agarwal,NORTH EAST DELHI,COMMISSIONER EAST DELHI MUNICIPAL CORPORATION,25.5,15.5,10,-0.73,0.29,1,2012-2013,18-06-2013,2.5,"1 / 2013-2014,2 / 2013-2014,2 / 2012-2013,3 / 2011-2012,3 / 2013-2014",Eligible MPR not Received.,2009,2014,15
Delhi,1,116,Shri Mahabal Mishra,WEST DELHI,COMMISSIONER SOUTH DELHI MUNICIPAL CORPORATION,25.5,18,7.5,-2.95,0.45,2,2012-2013,5/8/15,2.5,"1 / 2013-2014,2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Delhi,1,117,Shri Kapil Sibal,CHANDINI CHOWK,COMMISSIONER NORTH DELHI MUNICIPAL CORPORATION,18,18,0,-1.45,0,2,2012-2013,18-05-2015,2.5,,,2009,2014,15
Delhi,1,118,Shri Ramesh Kumar,SOUTH DELHI,COMMISSIONER SOUTH DELHI MUNICIPAL CORPORATION,19.5,7,12.5,6.6,-0.25,3,2010-2011,29-03-2011,4,"1 / 2011-2012,1 / 2012-2013,1 / 2013-2014,2 / 2013-2014,2 / 2010-2011,2 / 2012-2013,2 / 2011-2012,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Delhi,1,119,Shri Sandeep Dikshit,EAST DELHI,COMMISSIONER EAST DELHI MUNICIPAL CORPORATION,23,10.5,12.5,-0.27,1.22,1,2011-2012,3/12/15,2.5,"1 / 2012-2013,1 / 2013-2014,2 / 2013-2014,2 / 2012-2013,2 / 2011-2012",Eligible MPR not Received.,2009,2014,15
Delhi,1,120,Smt. Krishna Tirath,NORTH WEST DELHI(SC),COMMISSIONER NORTH DELHI MUNICIPAL CORPORATION,10.5,10.5,0,1.13,0,1,2011-2012,2/11/15,2.5,,,2009,2014,15
Goa,1,121,Shri Francisco Sardinha,SOUTH GOA,SOUTH GOA,16.5,16.5,0,0.39,1.03,1,2013-2014,1/5/15,2.5,,,2009,2014,15
