Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
West Bengal,7,527,Dr. Uma Saren,JHARGRAM(ST),PASCHIMI MEDINIPUR,25,10,15,4.34,1.09,2,2015-2016,3/5/17,2.5,"1 / 2016-2017,1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,528,Late. Kapil Krishna Thakur,BANGAON(SC),NORTH TWENTY FOUR PARGANAS,2.5,2.5,0,2.59,0,1,2014-2015,23-09-2014,2.5,,,2014,2019,16
West Bengal,7,529,Dr. (Smt.) Kakoli Ghosh Dastidar,BARASAT,NORTH TWENTY FOUR PARGANAS,25,25,0,-0.12,0.6,2,2018-2019,29-08-2018,2.5,,,2014,2019,16
West Bengal,7,530,Dr. Anupam Hazra,BOLPUR(SC),BIRBHUM,25,12.5,12.5,2.48,2.63,1,2016-2017,10/8/18,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017",,2014,2019,16
West Bengal,7,531,Dr. Tapas Mandal,RANAGHAT(SC),NADIA,25,22.5,2.5,0.38,0.85,1,2018-2019,3/1/19,2.5,2 / 2018-2019,,2014,2019,16
West Bengal,7,532,Shri Abu Hasem Khan Choudhury,MALDAHA DAKSHIN,MALDA,27.5,20,7.5,0.87,2.89,1,2017-2018,22-03-2022,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
West Bengal,7,533,Shri Adhir Ranjan Chowdhury,BAHARAMPUR,MURSHIDABAD,25,12.5,12.5,2.42,2.96,1,2016-2017,1/7/19,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,534,Dr.(Smt.) Mamtaz Sanghamita,BARDHAMAN-DURGAPUR,BURDWAN,25,22.5,2.5,1.21,3.21,1,2018-2019,1/10/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,535,Dr. Mriganka Mahato,PURULIA,PURULIA,25,25,0,-1.12,0.09,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
West Bengal,7,536,Shri Abhishek Banerjee,DIAMOND HARBOUR,SOUTH TWENTY FOUR PARGANAS,25,25,0,0.09,3.85,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
West Bengal,7,537, Sugata Bose,JADAVPUR,SOUTH TWENTY FOUR PARGANAS,27.5,20,7.5,-6.96,1.41,1,2017-2018,16-08-2018,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,538,Shri Abhijit Mukherjee,JANGIPUR,MURSHIDABAD,25,12.5,12.5,-0.25,0.46,1,2016-2017,26-07-2018,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,539,Shri Babul Supriya (Babul Supriyo) Baral,ASANSOL,BURDWAN,25,20,5,-6.01,3.67,2,2017-2018,24-02-2022,2.5,"1 / 2018-2019,2 / 2018-2019","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,540,Shri Bijoy Chandra Barman,JALPAIGURI(SC),JALPAIGURI,25,20,5,0.81,1.38,2,2017-2018,29-01-2019,2.5,"1 / 2018-2019,2 / 2018-2019","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,541,Shri Choudhury Mohan Jatua,MATHURAPUR(SC),SOUTH TWENTY FOUR PARGANAS,25,25,0,0.11,1.92,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
West Bengal,7,542,Shri Dasrath Tirkey,ALIPURDUARS(ST),ALIPURDUAR,25,25,0,0.3,1.23,2,2018-2019,31-12-2019,2.5,,,2014,2019,16
West Bengal,7,543,Shri Deepak (Dev) Adhikari,GHATAL,PASCHIMI MEDINIPUR,25,20,5,-5.3,0.22,2,2017-2018,27-06-2019,2.5,"1 / 2018-2019,2 / 2018-2019","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,544,Shri Dinesh Trivedi,BARRACKPUR,NORTH TWENTY FOUR PARGANAS,25,25,0,-0.23,0.2,2,2018-2019,17-09-2018,2.5,,,2014,2019,16
West Bengal,7,545,Shri Dibyendu Adhikari,TAMLUK,PURBA MEDINIPUR,12.5,12.5,0,0,0,2,2018-2019,1/2/19,2.5,,,2014,2019,16
West Bengal,7,546,Shri Idris Ali,BASIRHAT,NORTH TWENTY FOUR PARGANAS,25,25,0,-0.06,0.16,2,2018-2019,17-09-2018,2.5,,,2014,2019,16
West Bengal,7,547,Shri Kalyan Banerjee,SREERAMPUR,HOOGHLY,25,25,0,0,0,2,2018-2019,9/11/18,2.5,,,2014,2019,16
West Bengal,7,548,Shri Khan Saumitra,BISHNUPUR(SC),BANKURA,25,17.5,7.5,0.04,1.02,1,2017-2018,9/10/18,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
West Bengal,7,549,Shri Mohammad Salim,RAIGANJ,NORTH DINAJPUR,25,20,5,-0.83,0.36,2,2017-2018,2/12/19,2.5,"1 / 2018-2019,2 / 2018-2019",,2014,2019,16
West Bengal,7,550,Shri Md. Badaruddoza Khan,MURSHIDABAD,MURSHIDABAD,25,12.5,12.5,-0.07,1.22,1,2016-2017,16-08-2018,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017",,2014,2019,16
West Bengal,7,551,Shri Partha Pratim Ray,COOCHBEHAR(SC),COOCH BEHAR,15,10,5,0.15,0.41,2,2017-2018,8/2/19,2.5,"1 / 2018-2019,2 / 2018-2019",,2014,2019,16
West Bengal,7,552,Shri Prasun Banerjee,HOWRAH,HOWRAH,25,25,0,0.3,0.59,2,2018-2019,1/2/19,2.5,,,2014,2019,16
West Bengal,7,553,Shri Sultan Ahmed,ULUBERIA,HOWRAH,17.5,17.5,0,0.86,0,1,2017-2018,9/5/17,2.5,,,2014,2019,16
West Bengal,7,554,Shri Sunil Kumar Mondal,BARDHAMAN PURBA(SC),BURDWAN,25,25,0,0.21,2.27,2,2018-2019,17-02-2022,2.5,,,2014,2019,16
West Bengal,7,555,Shri Suvendu Adhikari,TAMLUK,PURBA MEDINIPUR,12.5,12.5,0,0,0,1,2016-2017,19-07-2016,2.5,,,2014,2019,16
West Bengal,7,556,Shri S.S. Ahluwalia,DARJEELING,DARJEELING,25,10,15,2.21,3.46,2,2015-2016,26-12-2018,2.5,"1 / 2016-2017,1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,557,Shri Sisir Kumar Adhikari,KANTHI,PURBA MEDINIPUR,25,25,0,0,0,2,2018-2019,4/1/19,2.5,,,2014,2019,16
West Bengal,7,558,Smt. Aparupa Poddar,ARAMBAG(SC),HOOGHLY,25,25,0,-0.29,0,2,2018-2019,17-10-2018,2.5,,,2014,2019,16
West Bengal,7,559,Shri Subrata Bakshi,KOLKATA DAKSHIN,KOLKATA,25,25,0,-0.12,2.69,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
West Bengal,7,560,Smt Sajda Ahmed,ULUBERIA,HOWRAH,7.5,7.5,0,0.32,0.36,2,2018-2019,4/2/19,2.5,,,2014,2019,16
West Bengal,7,561,Shri Sudip Bandyopadhyay,KOLKATA UTTAR,KOLKATA,25,25,0,0.35,2.73,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
West Bengal,7,562,Smt. Dev (Moon Moon Sen) Varma,BANKURA,BANKURA,25,25,0,-1.13,0.83,2,2018-2019,18-06-2019,2.5,,,2014,2019,16
West Bengal,7,563,Smt. Mausam Noor,MALDAHA UTTAR,MALDA,27.5,20,7.5,-6.55,0.64,1,2017-2018,21-03-2022,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
West Bengal,7,564,Shri Tapas Paul,KRISHNANAGAR,NADIA,25,22.5,2.5,0.18,0.42,1,2018-2019,25-06-2019,2.5,2 / 2018-2019,,2014,2019,16
West Bengal,7,565,Smt. Sandhya Roy,MEDINIPUR,PASCHIMI MEDINIPUR,25,25,0,-1.47,0.32,2,2018-2019,14-12-2018,2.5,,,2014,2019,16
West Bengal,7,566,Smt. Pratima Mondal,JOYNAGAR(SC),SOUTH TWENTY FOUR PARGANAS,25,25,0,0.4,2.15,2,2018-2019,20-12-2019,2.5,,,2014,2019,16
West Bengal,7,567,Smt. Renuka Sinha,COOCHBEHAR(SC),COOCH BEHAR,10,10,0,0.37,0.42,2,2015-2016,22-07-2016,2.5,,,2014,2019,16
West Bengal,7,568,Smt. Satabdi Roy (Banerjee),BIRBHUM,BIRBHUM,25,25,0,0.05,0.25,2,2018-2019,9/11/18,2.5,,,2014,2019,16
West Bengal,7,569,Smt Mamata Thakur,BANGAON(SC),NORTH TWENTY FOUR PARGANAS,22.5,22.5,0,-0.11,0.49,2,2018-2019,27-09-2018,2.5,,,2014,2019,16
