Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Bihar,7,84,Smt. Ranjeet Ranjan,SUPAUL,SUPAUL,25,25,0,2.06,2.51,2,2018-2019,18-06-2019,2.5,,,2014,2019,16
Chandigarh,7,85,Smt. Kirron Kher,CHANDIGARH,CHANDIGARH,25,25,0,-5.19,2.55,2,2018-2019,13-06-2019,2.5,,,2014,2019,16
Chhattisgarh,7,86,Dr. Banshilal Mahto,KORBA,KORBA,25,25,0,-0.26,0.26,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Chhattisgarh,7,87,Shri Abhishek Singh,RAJNANDGAON,RAJNANDGAON,25,25,0,0.34,0.34,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Chhattisgarh,7,88,Shri Chandu Lal Sahu,MAHASAMUND,MAHASAMUND,25,25,0,0.83,1.94,2,2018-2019,10/10/19,2.5,,,2014,2019,16
Chhattisgarh,7,89,Shri Dinesh Kashyap,BASTAR(ST),BASTAR,25,25,0,0.73,1.58,2,2018-2019,31-05-2019,2.5,,,2014,2019,16
Chhattisgarh,7,90,Shri Kamalbhan Singh Marabi,SARGUJA(ST),SURGUJA,25,25,0,0.7,3.2,2,2018-2019,19-03-2020,2.5,,,2014,2019,16
Chhattisgarh,7,91,Shri Lakhan Lal Sahu,BILASPUR,BILASPUR,25,25,0,1.84,4.54,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Chhattisgarh,7,92,Shri Vikram Usendi,KANKER(ST),UTTAR BASTAR KANKER,25,22.5,2.5,1.19,0.78,1,2018-2019,10/10/19,2.5,2 / 2018-2019,,2014,2019,16
Chhattisgarh,7,93,Smt. Kamla Devi Patle,JANJGIR CHAMPA(SC),JANJGIR-CHAMPA,25,25,0,0.4,0.66,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Chhattisgarh,7,94,Shri Ramesh Bais,RAIPUR,RAIPUR,25,25,0,-0.88,7.16,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
